[2020-10-05 08:31:58] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 49; PDOException: SQLSTATE[HY000] [2019] Unknown character set
[2020-10-05 09:05:21] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 60; PDOException: SQLSTATE[HY000] [1049] Unknown database 'tonerkoz_backups'
[2020-10-05 12:26:35] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 103; PDOException: SQLSTATE[HY000]: General error: mode must be an integer
[2020-10-05 12:35:38] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 103; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 12:36:18] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 103; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 12:36:43] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 103; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 14:58:47] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 103; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 15:08:01] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 107; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 15:08:19] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 107; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 15:08:26] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 108; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 15:08:45] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 108; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-05 15:08:55] Error in C:\Apache24\htdocs\mdb_backup\model\dbo.php Line: 107; PDOException: SQLSTATE[HY000] [1045] Access denied for user 'tonerkoz_expDB'@'localhost' (using password: YES)
[2020-10-07 09:53:12] Error in C:\Apache24\htdocs\backupplan\model\dbo.php Line: 60; PDOException: SQLSTATE[HY000] [2019] Unknown character set
[2020-10-07 09:57:51] Error in C:\Apache24\htdocs\backupplan\model\dbo.php Line: 60; PDOException: SQLSTATE[HY000] [2019] Unknown character set
